,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
greek,1931.1143993884396,2034.7160791078165,2205.6033708880955,1937.2109870838951,1780.720269867367,2354.7713829877703,1977.8031506811246,2149.3181452409876,2051.3894443301224,2106.5108899342745,2164.895240131655,2059.5232134609655,2008.2903282360421,2072.2698730482166,0.0,2290.512810713208,2122.4140192567065,1989.2904200206808,1931.7470660235902,1894.3614211774006,2028.3509666096836,1775.7239514104558,2152.295961312344,2056.361241012364,2157.6863142183784,2002.5894694945564,1996.9576743221817,1780.371854525835,2024.5689462478294,1983.1407373331353,2215.418547729156,2124.8333227589605,2365.0914148715965,2212.598273844648,1895.3516340166452,2105.721679644903,2228.636388129246,2018.8498029728291,1810.569682536946,2032.2509157099323,1909.608665017428,1985.5854963575991,2039.8382298668503,2090.387002132267,1933.076159493807,2133.8330715975967,2128.367713459833,2067.603579321104,1951.3626557629452
korean,2216.5514170462884,2271.647242064981,2414.8511843442966,2223.2726618153856,2180.545448528304,1905.9680722498751,2299.0579021799063,2322.7711164292614,2165.172931060348,1956.8260852305846,2265.773403378187,2281.6999161920317,2285.451906617063,2322.5492366571634,2290.512810713208,0.0,2401.874525319638,2226.0135146258203,2195.3576002811565,2240.2868446929815,2261.609460612194,2224.1566555802506,2230.5558910089135,2190.317012424408,2286.860390243435,2327.0175539954703,2234.248740284038,2200.8941347380237,2310.3565819960877,2220.7768168374723,2359.4719214897077,2364.6420642256103,2420.049969447782,2276.8608228637254,2253.8388919578247,2316.9726485912443,2299.4100852390516,2258.7543831867865,2173.7561566520594,2263.1277294043766,2272.9766233321247,2319.9520626066,2234.3108794493915,2150.7010288228626,2302.1865486683228,2317.7646636407735,2252.7323944337077,2281.5668614391175,2216.6393414753547
tamil,1904.7203698300843,2164.0682336875025,2068.9476771263094,2077.5098831899013,2029.1006624513022,2434.3130194514315,2239.188570039659,1993.7108981081121,2006.23595908514,2154.579355431661,1989.9087767099409,2254.150285470018,2305.044547655464,2129.5982915731015,2122.4140192567065,2401.874525319638,0.0,1989.329231368587,1854.1701642982944,2074.149992253768,2048.640750879556,1967.6884414622439,2069.9956018076223,1902.0131884158573,2225.6752967277826,2076.2049073462845,2011.2782079157835,2006.5915357966974,2155.756232503959,1934.0886017014984,1972.2487161290517,2015.0049771695185,2239.382575725854,2212.0474560481243,1920.6720647360096,1706.9446181695362,2169.2630208749943,2210.498844525505,2028.1511343930258,2162.9687489684247,2200.1142304207406,2006.1525930167536,1826.1735313691543,1935.7644678617044,2193.7055901535728,2063.3942631747364,2028.945157611269,2126.29651646772,2119.4231454456126
finnish,1999.862579730236,2034.605734866672,2099.070121622559,2007.6760869814239,1977.4240464103034,2302.385860207806,2025.3480359133198,2060.8603062303528,1971.4903162792523,2115.10080295883,2057.7889728912323,2108.677046407838,2041.179001990437,2096.348209361338,1989.2904200206808,2226.0135146258203,1989.329231368587,0.0,1894.3162462441305,1985.3313047817421,1938.8187877865078,1846.4219126209382,2056.290822578869,1993.9380176911786,2270.7540410058127,2109.121420409414,1970.7643909470662,1952.5445616764289,2092.5748339112224,2032.9045792999432,2123.4167269797413,2070.7700799997347,2311.2589101338717,2184.252720272705,1931.196899600661,1974.5683962588075,2226.430790734772,2083.089872666606,1997.1371783138418,2046.974126530081,2010.9771055954468,2048.948711046242,1998.4672854651067,2017.212349477075,2119.4756983954203,2097.629701933134,2143.04222359126,2127.9091095474337,2038.7389712076474
basque,1652.5957176489917,1857.324897091382,2029.9449803698492,1693.6776356588468,1538.6298586010755,2261.8499240185556,1961.3610205825764,1990.8825622027682,1805.8909517979723,1998.4009626240695,2015.3752044948362,1935.42365766082,2017.010613509097,2056.97669548626,1931.7470660235902,2195.3576002811565,1854.1701642982944,1894.3162462441305,0.0,1718.7038719502843,1850.7125259763018,1728.5574764888838,2005.6381011787366,1793.3802895698807,2056.1667909230787,1954.2341324052643,1827.1525067017656,1571.614134735242,2035.2886317506916,1774.1292329714252,1958.427187121783,1929.978119111659,2246.028105905986,2075.6733140382566,1590.9643791765197,1757.1223574903674,2071.5319622434213,1886.860074856917,1538.7612361446616,1866.6769373016934,1832.241029367719,1689.8140190660204,1768.0850627972375,1824.5145287029475,1852.8046496888824,1992.156470829076,2045.4326465052309,1902.3882392353537,1704.404580063494
bosnian,1554.741322853017,1806.658228453551,2256.2294795822313,1708.7445910648416,1660.7479582268368,2337.682705227271,1471.6319858015524,2170.089080107663,1938.9545549284335,2108.8975063494877,2171.3052941110386,1561.9744717175781,2001.3919374140812,2090.8628083236213,1894.3614211774006,2240.2868446929815,2074.149992253768,1985.3313047817421,1718.7038719502843,0.0,1779.5240605951592,1658.3115027290753,2009.7842381810874,1928.276318468722,2097.2088272896967,2053.195123056709,1883.8249854400622,1545.9887023222213,2007.2356668524244,1792.9380177628018,2172.407039704923,2162.507500112228,2358.342461096206,2173.8927136517805,1584.9334535815697,1992.9774055823561,2227.1577476659886,1813.1541228793017,1591.3153159828798,1771.5866595885755,954.7878714847607,1733.5967946243322,1780.5693322529346,1870.7532402577237,1867.8006653431107,2125.9891967179483,2078.3436422365994,1871.0817115269926,1717.4280360681428
swedish,1532.476741640983,1444.263364471021,2221.254559654311,1742.2516771733515,1716.242421641537,2351.967464903811,1978.6174833579128,2107.572636802749,1931.2616679638747,2148.634667980003,2180.7090275136925,2011.4695929212864,2096.611841713107,2110.517124697104,2028.3509666096836,2261.609460612194,2048.640750879556,1938.8187877865078,1850.7125259763018,1779.5240605951592,0.0,1887.069265250193,1559.1256167920444,1978.317858556616,2150.0026119830345,2122.257142502574,1957.0316955288986,1669.3696528242428,2103.0871253161945,1865.279677285041,2134.281740918659,2127.8581351782796,2309.4799436829853,2144.7940644497417,1651.973286157274,1975.9440299944295,2238.7932833674,1420.0915269325656,1686.2060810180938,1002.4369500328589,1884.132173946946,1787.5443144802362,1791.038357979962,1857.4669492271223,1906.3942670000538,2113.662114174839,2055.3031581481087,1976.4856244836326,1760.532504240969
lithuanian,1793.7004167673042,1867.614635064795,2085.873774191748,1832.597434683591,1790.9310717657772,2270.825489204135,1770.2588064154845,2106.53610209971,1904.4069316155176,2084.138593475261,2063.0645056303338,1894.9492187925653,1937.0584998642776,2007.0689182699186,1775.7239514104558,2224.1566555802506,1967.6884414622439,1846.4219126209382,1728.5574764888838,1658.3115027290753,1887.069265250193,0.0,1994.0642167859512,1874.7226952558242,2144.7454482785674,1942.4580088282332,1820.7766901903688,1768.2689688922458,1953.5247036597293,1892.057314350189,2077.930092240091,2084.4260163027348,2272.114197566828,2128.976686126668,1685.823933596155,1929.3672070398984,2157.0233094262835,1870.62452833171,1770.5670977162922,1852.9542225944783,1713.9917564038572,1860.3350755467713,1920.429459843438,1895.18737276657,1885.185088255034,2043.5113373042366,2144.7019608244555,1899.1935516501687,1831.9806126061148
icelandic,1826.5375372206,1871.6524796516949,2198.8457483876227,2006.484507757584,2011.518561593378,2340.18698134407,2221.2460948954426,2142.2600364536474,2097.2717008861437,2150.674184906668,2162.5685017832866,2210.777354991862,2218.3244398615698,2214.548293964268,2152.295961312344,2230.5558910089135,2069.9956018076223,2056.290822578869,2005.6381011787366,2009.7842381810874,1559.1256167920444,1994.0642167859512,0.0,2058.9626070982536,2191.146479477913,2183.190242003097,2062.09263936005,1978.6997886256756,2177.945325504108,1956.8500390921936,2155.8106813027393,2166.3499080886295,2281.75512173487,2221.347202299117,1969.107444287093,1981.9043378938513,2253.3178905995414,1860.3232348718439,2006.7273322653612,1633.1795396515058,2090.866682704879,2011.4999509315771,1923.7793205022035,2010.8517263301032,2157.3204133167233,2180.4005414831113,2135.612608146812,2079.095725395118,2065.9413905448
filipino,1714.3859061343987,2039.1137825683109,2063.052332242955,1938.0978003782543,1812.9931336974087,2280.1979283859987,2140.4723259979864,1966.4569926152942,1771.189256821694,2115.470598261338,2009.276792742821,2129.3023490800856,2191.840368589507,2154.106271641845,2056.361241012364,2190.317012424408,1902.0131884158573,1993.9380176911786,1793.3802895698807,1928.276318468722,1978.317858556616,1874.7226952558242,2058.9626070982536,0.0,2174.5207830515,2101.0211189438496,1982.3166944179923,1841.3369823055455,2103.9606397731955,1851.1475292708587,1898.0673396422521,1929.8325299106502,2118.6729974986474,2071.8464991044616,1850.1587335340664,1742.0628522351785,2000.2381157742063,2079.267661383916,1834.1061921901962,2007.0749709064125,2099.9364206260984,1903.483400217495,1676.1923502797408,1685.1442389581703,2145.4576782191716,2074.0426415689194,1955.821437690299,2072.486206799647,1867.670965182935
